epoch	iou_threshold	score_threshold	tp	fp	fn	precision	recall
1	0.5	0.5	74	205	2226	0.26523297491039427	0.03217391304347826
2	0.5	0.5	1094	1287	1206	0.4594708105837883	0.4756521739130435
3	0.5	0.5	1560	1043	740	0.5993084902036112	0.6782608695652174
4	0.5	0.5	1900	1656	400	0.5343082114735658	0.8260869565217391
5	0.5	0.5	1798	2478	502	0.4204864359214219	0.7817391304347826
6	0.5	0.5	1716	3940	584	0.3033946251768034	0.7460869565217392
7	0.5	0.5	1967	1996	333	0.49634115569013376	0.8552173913043478
8	0.5	0.5	1964	1968	336	0.49949135300101727	0.8539130434782609
9	0.5	0.5	1849	2853	451	0.39323692045937897	0.8039130434782609
10	0.5	0.5	1789	3100	511	0.36592350173859683	0.7778260869565218
11	0.5	0.5	1937	2492	363	0.4373447730864755	0.8421739130434782
12	0.5	0.5	1980	1188	320	0.625	0.8608695652173913
13	0.5	0.5	1853	2711	447	0.40600350569675725	0.8056521739130434
14	0.5	0.5	2020	1493	280	0.5750071164247083	0.8782608695652174
15	0.5	0.5	2009	1586	291	0.5588317107093185	0.8734782608695653
16	0.5	0.5	2018	1350	282	0.5991686460807601	0.8773913043478261
17	0.5	0.5	1993	1425	307	0.5830895260386191	0.8665217391304347
18	0.5	0.5	1966	1955	334	0.5014027033919919	0.8547826086956521
19	0.5	0.5	1971	1896	329	0.5096974398758728	0.8569565217391304
20	0.5	0.5	1917	1770	383	0.5199349064279902	0.8334782608695652
21	0.5	0.5	1979	1508	321	0.5675365643819903	0.8604347826086957
22	0.5	0.5	2017	1702	283	0.5423500941113203	0.8769565217391304
23	0.5	0.5	1948	1019	352	0.6565554432086282	0.8469565217391304
24	0.5	0.5	1879	2513	421	0.4278233151183971	0.8169565217391305
25	0.5	0.5	1943	1568	357	0.553403588721162	0.8447826086956521
26	0.5	0.5	1986	1607	314	0.5527414416921792	0.8634782608695653
27	0.5	0.5	1984	1381	316	0.5895988112927192	0.8626086956521739
28	0.5	0.5	1965	1241	335	0.6129132875857767	0.8543478260869565
29	0.5	0.5	1947	1699	353	0.534009873834339	0.8465217391304348
30	0.5	0.5	1995	1796	305	0.5262463729886574	0.8673913043478261
31	0.5	0.5	2034	1229	266	0.6233527428746553	0.8843478260869565
32	0.5	0.5	1991	1789	309	0.5267195767195767	0.8656521739130435
33	0.5	0.5	2038	922	262	0.6885135135135135	0.8860869565217391
34	0.5	0.5	1956	2152	344	0.4761441090555015	0.8504347826086956
35	0.5	0.5	1927	1901	373	0.5033960292580982	0.8378260869565217
36	0.5	0.5	2027	1462	273	0.5809687589567212	0.8813043478260869
37	0.5	0.5	2015	1144	285	0.6378600823045267	0.8760869565217392
38	0.5	0.5	1925	2491	375	0.43591485507246375	0.8369565217391305
39	0.5	0.5	1976	2068	324	0.4886251236399604	0.8591304347826086
40	0.5	0.5	2016	1804	284	0.5277486910994764	0.8765217391304347
41	0.5	0.5	1971	1057	329	0.6509247027741083	0.8569565217391304
42	0.5	0.5	2002	1095	298	0.6464320309977397	0.8704347826086957
43	0.5	0.5	2041	1130	259	0.6436455376852728	0.8873913043478261
44	0.5	0.5	1971	1141	329	0.6333547557840618	0.8569565217391304
45	0.5	0.5	1984	1216	316	0.62	0.8626086956521739
46	0.5	0.5	1993	821	307	0.7082444918265813	0.8665217391304347
47	0.5	0.5	2066	1040	234	0.665164198325821	0.8982608695652174
48	0.5	0.5	2048	1021	252	0.6673183447376996	0.8904347826086957
49	0.5	0.5	1993	1931	307	0.5079001019367991	0.8665217391304347
50	0.5	0.5	2025	1254	275	0.6175663311985361	0.8804347826086957
51	0.5	0.5	2071	1074	229	0.6585055643879173	0.9004347826086957
52	0.5	0.5	2086	949	214	0.6873146622734762	0.9069565217391304
53	0.5	0.5	2037	804	263	0.7170010559662091	0.8856521739130435
54	0.5	0.5	2051	810	249	0.716882209017826	0.8917391304347826
55	0.5	0.5	2085	876	215	0.7041540020263425	0.9065217391304348
56	0.5	0.5	1979	888	321	0.6902685734216951	0.8604347826086957
57	0.5	0.5	2011	549	289	0.785546875	0.8743478260869565
58	0.5	0.5	2026	860	274	0.702009702009702	0.8808695652173913
59	0.5	0.5	2028	625	272	0.7644176404070863	0.8817391304347826
60	0.5	0.5	2060	1245	240	0.6232980332829047	0.8956521739130435
61	0.5	0.5	2087	751	213	0.7353770260747005	0.9073913043478261
62	0.5	0.5	1935	545	365	0.780241935483871	0.841304347826087
63	0.5	0.5	1766	413	534	0.8104635153740248	0.7678260869565218
64	0.5	0.5	1986	585	314	0.7724620770128354	0.8634782608695653
65	0.5	0.5	1814	3306	486	0.354296875	0.788695652173913
66	0.5	0.5	1958	477	342	0.8041067761806981	0.851304347826087
67	0.5	0.5	1857	860	443	0.6834744203165256	0.8073913043478261
68	0.5	0.5	1922	1069	378	0.6425944500167168	0.8356521739130435
69	0.5	0.5	1974	526	326	0.7896	0.8582608695652174
