epoch	threshold	tp	fp	fn	precision	recall
1	0.5	445804	2309108	3883513	0.1618215028284025	0.10297328654843246
2	0.5	3736673	3901075	592644	0.48923753441459444	0.8631091232173573
3	0.5	3886533	1911571	442784	0.6703110189123893	0.8977242830682068
4	0.5	4009040	1767981	320277	0.6939632035265234	0.9260213562555017
5	0.5	4069229	2055893	260088	0.6643506855863442	0.9399240111084497
6	0.5	4186267	2957629	143050	0.5859921533012239	0.9669578365363405
7	0.5	4041211	1502410	288106	0.7289839980041926	0.9334523205392444
8	0.5	4048477	1472458	280840	0.7332955378029264	0.9351306453188806
9	0.5	4123315	2112961	206002	0.6611822504327903	0.9524169747791627
10	0.5	4183568	2437227	145749	0.6318830291528434	0.9663344125643837
11	0.5	4124698	1797321	204619	0.6965019869068303	0.9527364247062527
12	0.5	3838825	705539	490492	0.8447441710215114	0.8867045309918401
13	0.5	4179958	2180762	149359	0.6571517060961652	0.9655005627908513
14	0.5	3972144	1030613	357173	0.7939909933662579	0.9174989958000304
15	0.5	4044484	1223203	284833	0.7677912525934057	0.934208328935026
16	0.5	3997421	1053028	331896	0.7914981420463805	0.9233375610979746
17	0.5	3969445	992360	359872	0.8000002015395608	0.9168755718280736
18	0.5	4106960	1532019	222357	0.728316243064569	0.9486392426334224
19	0.5	4099608	1491084	229709	0.7332916926920675	0.9469410532885442
20	0.5	4110038	1593780	219279	0.7205766383148972	0.9493502092824342
21	0.5	4045486	1240353	283831	0.7653441582310774	0.9344397742184275
22	0.5	4133148	1426147	196169	0.7434662128921024	0.9546882337329422
23	0.5	4007319	1034174	321998	0.7948675124610904	0.925623833967344
24	0.5	4195501	2173263	133816	0.6587622025246971	0.9690907364833761
25	0.5	4153843	1672090	175474	0.7129918933156286	0.9594684334734556
26	0.5	4135773	1473028	193544	0.7373720337020336	0.9552945649394581
27	0.5	4017137	1074375	312180	0.7889870435344157	0.927891628171372
28	0.5	4093461	1276102	235856	0.7623452783774024	0.9455211988403713
29	0.5	4122484	1543610	206833	0.7275707039099598	0.9522250276429284
30	0.5	4102600	1383097	226717	0.7478721482429671	0.9476321553723139
31	0.5	3999297	918109	330020	0.8132940416146236	0.9237708858002313
32	0.5	4162338	1591929	166979	0.7233480823882521	0.9614306367493995
33	0.5	3976773	785108	352544	0.8351264972812215	0.9185682175733493
34	0.5	4203599	1885884	125718	0.690304743440453	0.9709612393825631
35	0.5	4140244	1653284	189073	0.7146326038296527	0.9563272913487277
36	0.5	4131479	1327849	197838	0.7567742769806101	0.9543027225772565
37	0.5	4076819	1103768	252498	0.7869415184032235	0.9416771744827186
38	0.5	4171545	1868278	157772	0.6906733856273602	0.9635573001468823
39	0.5	4175707	1695336	153610	0.7112376795741404	0.9645186527112706
40	0.5	4173610	1557967	155707	0.7281783006666402	0.9640342806960082
41	0.5	4031076	1049296	298241	0.793460793815886	0.931111304623801
42	0.5	3976416	903385	352901	0.8148725736971651	0.9184857565292631
43	0.5	4065622	1031771	263695	0.7975884927844489	0.9390908542848676
44	0.5	4124956	1365311	204361	0.751321565963914	0.9527960184019789
45	0.5	4030231	1058829	299086	0.791940161837353	0.930916123721132
46	0.5	4020146	927762	309171	0.812494088410698	0.9285866569715269
47	0.5	3933018	698664	396299	0.8491554472003907	0.9084615425481664
48	0.5	3990730	830322	338587	0.8277716149919147	0.9217920517254801
49	0.5	4143956	1609450	185361	0.720261354752298	0.9571847014205705
50	0.5	4002285	887260	327032	0.8185393528436695	0.924461063950734
51	0.5	4006805	859122	322512	0.8234412476800412	0.9255051085425253
52	0.5	4010663	826204	318654	0.8291861239930723	0.9263962421786162
53	0.5	3997031	758255	332286	0.8405448168627502	0.923247477604435
54	0.5	3939732	709153	389585	0.8474574010757419	0.9100123645369466
55	0.5	3953690	665283	375627	0.8559673329980496	0.913236429672394
